BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,ecrsCapacity,ecrsPrice_USDperMW,ecrsRev_USD,reg_upCapacity,reg_upPrice_USDperMW,reg_upRev_USD,reg_downCapacity,reg_downPrice_USDperMW,reg_downRev_USD,non_spinCapacity,non_spinPrice_USDperMW,non_spinRev_USD,rrsCapacity,rrsPrice_USDperMW,rrsRev_USD,CapacityObligation
-0.47,0.13,21.91,-10.37,0.00,0.00,0.00,0.25,1.95,0.44,0.25,2.49,0.62,0.00,1.05,0.00,0.00,1.53,0.00,0.00
0.00,1.00,21.22,0.00,0.00,0.00,0.00,0.18,1.99,0.33,0.25,3.49,0.87,0.00,2.72,0.00,0.50,1.95,0.90,0.00
0.00,1.00,21.22,0.00,0.00,0.00,0.00,0.18,2.29,0.38,0.25,2.49,0.62,0.00,2.72,0.00,0.50,1.98,0.91,0.00
-0.01,1.00,25.87,-0.18,0.00,0.00,0.00,0.25,6.48,1.49,0.25,2.49,0.62,0.00,2.74,0.00,0.43,2.47,0.98,0.00
0.32,1.00,54.81,16.15,0.00,0.00,0.00,0.25,29.94,6.90,0.25,15.15,3.79,0.00,25.90,0.00,0.43,25.93,10.29,0.00
0.14,0.35,31.89,4.23,0.00,0.00,0.00,0.00,4.39,0.00,0.25,2.41,0.60,0.00,1.42,0.00,0.35,4.69,1.53,0.00
0.00,0.10,23.91,0.00,0.00,0.00,0.00,0.23,3.52,0.75,0.25,1.54,0.39,0.00,1.30,0.00,0.00,1.95,0.00,0.00
0.00,0.10,21.92,0.00,0.00,0.00,0.00,0.23,3.95,0.84,0.25,2.98,0.74,0.00,1.13,0.00,0.00,1.95,0.00,0.00
0.00,0.10,20.52,0.00,0.00,0.00,0.00,0.23,2.00,0.42,0.25,3.50,0.88,0.00,1.13,0.00,0.00,1.98,0.00,0.00
0.00,0.10,19.25,0.00,0.00,0.00,0.00,0.23,2.95,0.63,0.25,9.49,2.37,0.00,1.13,0.00,0.00,2.00,0.00,0.00
0.00,0.10,14.32,0.00,0.00,0.00,0.00,0.00,1.30,0.00,0.25,4.49,1.12,0.00,1.13,0.00,0.23,1.80,0.38,0.00
-0.00,0.14,8.81,-0.01,0.00,0.00,0.00,0.25,2.00,0.46,0.25,2.50,0.62,0.00,1.04,0.00,0.00,1.50,0.00,0.00
-0.47,0.14,7.42,-3.48,0.00,0.00,0.00,0.25,1.99,0.46,0.25,1.49,0.37,0.00,1.04,0.00,0.00,1.49,0.00,0.00
-0.01,1.00,9.38,-0.06,0.00,0.00,0.00,0.25,2.00,0.46,0.25,1.49,0.37,0.00,1.05,0.00,0.43,1.50,0.60,0.00
-0.01,1.00,9.85,-0.07,0.00,0.00,0.00,0.25,2.00,0.46,0.25,1.52,0.38,0.00,1.05,0.00,0.43,1.50,0.60,0.00
-0.01,1.00,13.94,-0.09,0.00,0.00,0.00,0.25,2.15,0.50,0.25,1.49,0.37,0.00,1.05,0.00,0.43,1.50,0.60,0.00
-0.01,1.00,21.72,-0.15,0.00,0.00,0.00,0.25,4.39,1.01,0.25,4.89,1.22,0.00,1.15,0.00,0.43,2.00,0.79,0.00
0.00,1.00,34.43,0.00,0.00,0.00,0.00,0.25,9.20,2.12,0.25,10.00,2.50,0.00,2.00,0.00,0.43,9.20,3.65,0.00
0.04,0.99,31.36,1.16,0.00,0.00,0.00,0.25,5.48,1.26,0.25,3.50,0.88,0.00,1.82,0.00,0.42,5.48,2.14,0.00
0.37,0.89,30.96,10.62,0.00,0.00,0.00,0.25,5.00,1.15,0.25,33.00,8.25,0.00,2.01,0.00,0.38,3.00,1.05,0.00
0.00,0.14,22.44,0.00,0.00,0.00,0.00,0.25,9.33,2.15,0.25,12.04,3.01,0.00,2.00,0.00,0.00,2.00,0.00,0.00
-0.47,0.14,15.84,-7.46,0.00,0.00,0.00,0.25,2.80,0.64,0.25,7.50,1.88,0.00,1.05,0.00,0.00,2.00,0.00,0.00
-0.01,1.00,14.69,-0.10,0.00,0.00,0.00,0.25,2.29,0.53,0.25,5.30,1.32,0.00,1.13,0.00,0.43,1.95,0.77,0.00
-0.01,1.00,13.34,-0.09,0.00,0.00,0.00,0.25,2.29,0.53,0.25,5.30,1.32,0.00,1.15,0.00,0.43,1.95,0.77,0.00
0.00,1.00,12.80,0.00,0.00,0.00,0.00,0.25,1.95,0.45,0.25,3.69,0.92,0.00,1.15,0.00,0.43,1.65,0.65,0.00
-0.01,0.99,10.81,-0.15,0.00,0.00,0.00,0.25,2.39,0.55,0.25,5.40,1.35,0.00,4.80,0.00,0.42,2.00,0.78,0.00
-0.01,1.00,12.68,-0.09,0.00,0.00,0.00,0.25,2.29,0.53,0.25,5.77,1.44,0.00,4.45,0.00,0.43,2.00,0.79,0.00
-0.01,1.00,19.48,-0.13,0.00,0.00,0.00,0.25,5.67,1.31,0.25,3.69,0.92,0.00,5.00,0.00,0.43,3.00,1.19,0.00
0.32,1.00,44.83,13.21,0.00,0.00,0.00,0.25,29.37,6.77,0.25,27.39,6.85,0.00,17.20,0.00,0.43,24.74,9.82,0.00
0.14,0.35,32.23,4.27,0.00,0.00,0.00,0.00,6.27,0.00,0.25,5.00,1.25,0.00,2.72,0.00,0.35,6.77,2.21,0.00
-0.02,0.10,20.65,-0.44,0.00,0.00,0.00,0.23,2.60,0.55,0.25,2.98,0.74,0.00,1.82,0.00,0.00,2.00,0.00,0.00
-0.47,0.14,18.98,-8.90,0.00,0.00,0.00,0.25,2.48,0.57,0.25,3.50,0.88,0.00,1.98,0.00,0.00,1.98,0.00,0.00
0.00,1.00,19.44,0.00,0.00,0.00,0.00,0.18,1.48,0.25,0.25,3.49,0.87,0.00,1.98,0.00,0.50,1.98,0.91,0.00
0.00,1.00,18.35,0.00,0.00,0.00,0.00,0.18,1.50,0.25,0.25,5.69,1.42,0.00,1.15,0.00,0.50,2.00,0.92,0.00
0.00,1.00,17.80,0.00,0.00,0.00,0.00,0.18,1.48,0.25,0.25,4.02,1.00,0.00,1.13,0.00,0.50,1.98,0.91,0.00
0.00,1.00,24.63,0.00,0.00,0.00,0.00,0.25,2.00,0.46,0.25,2.50,0.62,0.00,0.99,0.00,0.43,1.50,0.60,0.00
0.00,0.99,21.49,0.00,0.00,0.00,0.00,0.25,1.99,0.46,0.25,1.49,0.37,0.00,0.99,0.00,0.42,1.49,0.58,0.00
-0.02,0.98,20.20,-0.41,0.00,0.00,0.00,0.25,2.00,0.46,0.25,1.49,0.37,0.00,0.99,0.00,0.42,1.50,0.58,0.00
-0.01,1.00,19.67,-0.13,0.00,0.00,0.00,0.25,1.99,0.46,0.25,1.51,0.38,0.00,0.99,0.00,0.43,1.49,0.59,0.00
-0.01,1.00,18.74,-0.13,0.00,0.00,0.00,0.25,1.99,0.46,0.25,1.48,0.37,0.00,0.99,0.00,0.43,1.46,0.58,0.00
-0.01,1.00,18.96,-0.13,0.00,0.00,0.00,0.25,3.39,0.78,0.25,3.50,0.88,0.00,0.99,0.00,0.43,1.68,0.67,0.00
-0.01,1.00,21.92,-0.15,0.00,0.00,0.00,0.25,4.39,1.01,0.25,5.00,1.25,0.00,1.65,0.00,0.43,2.39,0.95,0.00
0.00,1.00,25.60,0.00,0.00,0.00,0.00,0.18,3.00,0.50,0.25,2.69,0.67,0.00,1.59,0.00,0.50,3.00,1.38,0.00
0.00,1.00,21.95,0.00,0.00,0.00,0.00,0.25,4.00,0.92,0.25,20.69,5.17,0.00,1.15,0.00,0.43,2.00,0.79,0.00
-0.01,0.99,19.94,-0.27,0.00,0.00,0.00,0.25,3.95,0.91,0.25,6.65,1.66,0.00,1.11,0.00,0.42,1.95,0.76,0.00
-0.01,1.00,21.63,-0.15,0.00,0.00,0.00,0.25,2.29,0.53,0.25,3.79,0.95,0.00,1.05,0.00,0.43,1.65,0.65,0.00
0.00,1.00,23.18,0.00,0.00,0.00,0.00,0.18,2.29,0.38,0.25,3.50,0.88,0.00,1.09,0.00,0.50,1.95,0.90,0.00
0.00,1.00,23.78,0.00,0.00,0.00,0.00,0.18,2.15,0.36,0.25,3.29,0.82,0.00,1.14,0.00,0.50,1.95,0.90,0.00
0.00,1.00,24.42,0.00,0.00,0.00,0.00,0.18,1.83,0.30,0.25,2.69,0.67,0.00,1.15,0.00,0.50,1.65,0.76,0.00
0.00,1.00,22.69,0.00,0.00,0.00,0.00,0.18,1.99,0.33,0.25,3.49,0.87,0.00,4.19,0.00,0.50,1.99,0.92,0.00
0.00,1.00,24.45,0.00,0.00,0.00,0.00,0.18,2.12,0.35,0.25,2.69,0.67,0.00,4.60,0.00,0.50,2.00,0.92,0.00
-0.01,1.00,25.06,-0.17,0.00,0.00,0.00,0.25,5.50,1.27,0.25,2.49,0.62,0.00,5.00,0.00,0.43,4.60,1.83,0.00
0.32,1.00,54.55,16.07,0.00,0.00,0.00,0.25,39.22,9.04,0.25,3.69,0.92,0.00,25.15,0.00,0.43,18.15,7.20,0.00
