BattSchedule_MW,SOC_percent,EnergyPriceDA_$perMWh,EnergyProfit_$,ecrsCapacity,ecrsPrice_$perMW,ecrsRev_$,rrsCapacity,rrsPrice_$perMW,rrsRev_$,non_spinCapacity,non_spinPrice_$perMW,non_spinRev_$,reg_upCapacity,reg_upPrice_$perMW,reg_upRev_$,reg_downCapacity,reg_downPrice_$perMW,reg_downRev_$,CapacityObligation
-0.05,0.91,6.95,-0.36,0.00,1.53,0.00,0.41,1.40,0.52,0.00,1.23,0.00,0.05,1.98,0.09,0.05,2.00,0.10,0.00
-0.00,1.00,10.04,-0.05,0.00,1.25,0.00,0.45,1.25,0.52,0.00,1.23,0.00,0.05,2.10,0.10,0.05,2.00,0.10,0.00
-0.00,1.00,18.30,-0.09,0.00,1.65,0.00,0.45,1.65,0.68,0.00,2.00,0.00,0.05,3.65,0.17,0.05,4.49,0.22,0.00
0.00,1.00,40.12,0.00,0.00,4.18,0.00,0.45,3.18,1.31,0.00,4.18,0.00,0.05,6.72,0.31,0.05,2.87,0.14,0.00
0.00,0.99,36.46,0.00,0.00,2.00,0.00,0.44,1.97,0.81,0.00,2.00,0.00,0.05,2.30,0.11,0.05,1.55,0.08,0.00
0.00,0.98,33.81,0.00,0.00,1.96,0.00,0.44,1.50,0.61,0.00,2.72,0.00,0.05,1.83,0.08,0.05,1.43,0.07,0.00
0.00,0.97,34.16,0.00,0.00,1.94,0.00,0.44,1.25,0.50,0.00,2.72,0.00,0.05,1.25,0.06,0.05,1.25,0.06,0.00
0.00,0.96,32.30,0.00,0.00,2.00,0.00,0.43,1.49,0.59,0.00,1.48,0.00,0.05,1.82,0.08,0.05,1.25,0.06,0.00
0.00,0.96,32.08,0.00,0.00,1.00,0.00,0.43,1.00,0.39,0.00,0.97,0.00,0.05,1.47,0.07,0.05,2.00,0.10,0.00
0.00,0.95,30.71,0.00,0.00,1.00,0.00,0.42,1.00,0.39,0.00,0.93,0.00,0.05,1.80,0.08,0.05,1.25,0.06,0.00
0.00,0.94,30.03,0.00,0.00,0.94,0.00,0.42,1.00,0.38,0.00,0.40,0.00,0.05,1.80,0.08,0.05,1.25,0.06,0.00
-0.04,0.93,27.45,-1.18,0.00,0.94,0.00,0.41,1.00,0.38,0.00,0.40,0.00,0.05,1.76,0.08,0.05,1.25,0.06,0.00
-0.00,1.00,27.10,-0.13,0.00,0.95,0.00,0.45,1.00,0.41,0.00,0.96,0.00,0.05,1.80,0.08,0.05,0.50,0.02,0.00
-0.00,1.00,28.57,-0.14,0.00,0.95,0.00,0.45,1.00,0.41,0.00,0.96,0.00,0.05,1.80,0.08,0.05,0.61,0.03,0.00
-0.00,1.00,30.08,-0.15,0.00,1.00,0.00,0.45,1.00,0.41,0.00,0.97,0.00,0.05,2.15,0.10,0.05,1.25,0.06,0.00
-0.00,1.00,35.11,-0.17,0.00,0.87,0.00,0.45,1.01,0.42,0.00,1.50,0.00,0.05,2.69,0.12,0.05,1.41,0.07,0.00
0.00,1.00,47.49,0.00,0.00,3.09,0.00,0.45,2.00,0.83,0.00,7.49,0.00,0.05,2.45,0.11,0.05,1.95,0.10,0.00
0.44,0.99,50.29,20.49,0.00,5.00,0.00,0.00,2.00,0.00,0.11,10.30,1.05,0.05,2.00,0.09,0.05,2.00,0.10,0.00
0.00,0.10,33.47,0.00,0.00,12.42,0.00,0.00,4.00,0.00,0.00,6.56,0.00,0.05,2.00,0.08,0.05,4.65,0.23,0.00
