BattSchedule_MW,SOC_percent,EnergyPriceDA_$perMWh,EnergyProfit_$,ecrsCapacity,ecrsPrice_$perMW,ecrsRev_$,rrsCapacity,rrsPrice_$perMW,rrsRev_$,non_spinCapacity,non_spinPrice_$perMW,non_spinRev_$,reg_upCapacity,reg_upPrice_$perMW,reg_upRev_$,reg_downCapacity,reg_downPrice_$perMW,reg_downRev_$,CapacityObligation
-0.01,1.00,18.37,-0.18,0.20,1.00,0.18,0.50,1.00,0.46,0.00,0.98,0.00,0.05,2.39,0.11,0.05,2.00,0.10,0.00
0.00,1.00,22.11,0.00,0.20,0.90,0.17,0.50,1.01,0.46,0.00,1.12,0.00,0.05,2.52,0.12,0.05,1.56,0.08,0.00
0.07,0.99,28.35,1.79,0.19,2.00,0.36,0.50,2.00,0.92,0.00,2.15,0.00,0.05,2.99,0.14,0.05,1.25,0.06,0.00
0.29,0.91,28.24,7.63,0.16,2.49,0.36,0.50,1.97,0.91,0.00,2.25,0.00,0.05,2.00,0.09,0.05,2.00,0.10,0.00
0.00,0.61,20.91,0.00,0.26,4.88,1.14,0.00,2.00,0.00,0.00,2.72,0.00,0.05,2.00,0.09,0.05,3.50,0.17,0.00
0.00,0.61,18.03,0.00,0.25,3.92,0.91,0.00,1.67,0.00,0.00,2.25,0.00,0.05,2.00,0.09,0.05,3.14,0.16,0.00
0.00,0.60,16.81,0.00,0.00,2.47,0.00,0.50,1.47,0.68,0.00,1.17,0.00,0.05,2.00,0.09,0.05,2.00,0.10,0.00
0.00,0.60,15.00,0.00,0.00,1.96,0.00,0.49,1.40,0.64,0.00,1.17,0.00,0.05,1.98,0.09,0.05,2.00,0.10,0.00
0.00,0.59,10.83,0.00,0.00,1.75,0.00,0.49,1.40,0.63,0.00,1.15,0.00,0.05,2.00,0.09,0.05,1.98,0.10,0.00
0.00,0.59,8.24,0.00,0.00,1.38,0.00,0.48,1.38,0.62,0.00,1.15,0.00,0.05,2.00,0.09,0.05,2.00,0.10,0.00
-0.46,0.58,6.95,-3.19,0.00,1.53,0.00,0.48,1.40,0.62,0.00,1.23,0.00,0.05,1.98,0.09,0.05,2.00,0.10,0.00
-0.01,1.00,10.04,-0.10,0.20,1.25,0.23,0.50,1.25,0.57,0.00,1.23,0.00,0.05,2.10,0.10,0.05,2.00,0.10,0.00
-0.01,1.00,18.30,-0.18,0.20,1.65,0.30,0.50,1.65,0.76,0.00,2.00,0.00,0.05,3.65,0.17,0.05,4.49,0.22,0.00
0.00,1.00,40.12,0.00,0.20,4.18,0.77,0.50,3.18,1.46,0.00,4.18,0.00,0.05,6.72,0.31,0.05,2.87,0.14,0.00
0.00,0.99,36.46,0.00,0.19,2.00,0.36,0.50,1.97,0.91,0.00,2.00,0.00,0.05,2.30,0.11,0.05,1.55,0.08,0.00
0.00,0.98,33.81,0.00,0.19,1.96,0.34,0.50,1.50,0.69,0.00,2.72,0.00,0.05,1.83,0.08,0.05,1.43,0.07,0.00
0.00,0.97,34.16,0.00,0.19,1.94,0.33,0.50,1.25,0.57,0.00,2.72,0.00,0.05,1.25,0.06,0.05,1.25,0.06,0.00
0.00,0.96,32.30,0.00,0.18,2.00,0.33,0.50,1.49,0.68,0.00,1.48,0.00,0.05,1.82,0.08,0.05,1.25,0.06,0.00
0.00,0.96,32.08,0.00,0.18,1.00,0.16,0.50,1.00,0.46,0.00,0.97,0.00,0.05,1.47,0.07,0.05,2.00,0.10,0.00
0.00,0.95,30.71,0.00,0.17,1.00,0.16,0.50,1.00,0.46,0.00,0.93,0.00,0.05,1.80,0.08,0.05,1.25,0.06,0.00
0.00,0.94,30.03,0.00,0.17,0.94,0.15,0.50,1.00,0.46,0.00,0.40,0.00,0.05,1.80,0.08,0.05,1.25,0.06,0.00
-0.09,0.93,27.45,-2.33,0.16,0.94,0.14,0.50,1.00,0.46,0.00,0.40,0.00,0.05,1.76,0.08,0.05,1.25,0.06,0.00
-0.01,1.00,27.10,-0.27,0.20,0.95,0.17,0.50,1.00,0.46,0.00,0.96,0.00,0.05,1.80,0.08,0.05,0.50,0.02,0.00
-0.01,1.00,28.57,-0.28,0.20,0.95,0.17,0.50,1.00,0.46,0.00,0.96,0.00,0.05,1.80,0.08,0.05,0.61,0.03,0.00
-0.01,1.00,30.08,-0.30,0.20,1.00,0.18,0.50,1.00,0.46,0.00,0.97,0.00,0.05,2.15,0.10,0.05,1.25,0.06,0.00
-0.01,1.00,35.11,-0.35,0.20,0.87,0.16,0.50,1.01,0.46,0.00,1.50,0.00,0.05,2.69,0.12,0.05,1.41,0.07,0.00
0.09,1.00,47.49,4.02,0.00,3.09,0.00,0.50,2.00,0.92,0.10,7.49,0.69,0.05,2.45,0.11,0.05,1.95,0.10,0.00
0.80,0.90,50.29,36.85,0.00,5.00,0.00,0.00,2.00,0.00,0.20,10.30,1.92,0.00,2.00,0.00,0.05,2.00,0.10,0.00
