BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,ecrsCapacity,ecrsPrice_USDperMW,ecrsRev_USD,reg_upCapacity,reg_upPrice_USDperMW,reg_upRev_USD,reg_downCapacity,reg_downPrice_USDperMW,reg_downRev_USD,non_spinCapacity,non_spinPrice_USDperMW,non_spinRev_USD,rrsCapacity,rrsPrice_USDperMW,rrsRev_USD,CapacityObligation
-0.02,0.62,17.97,-0.27,0.00,0.00,0.00,0.25,6.62,1.53,0.25,21.95,5.49,0.00,2.60,0.00,0.50,7.90,3.64,0.00
0.00,0.63,17.85,0.00,0.00,0.00,0.00,0.25,4.76,1.10,0.25,20.81,5.20,0.00,0.99,0.00,0.50,5.26,2.42,0.00
-0.42,0.62,16.81,-7.06,0.00,0.00,0.00,0.25,6.71,1.55,0.25,18.45,4.61,0.00,0.99,0.00,0.50,6.85,3.16,0.00
-0.01,1.00,16.73,-0.16,0.00,0.00,0.00,0.25,5.00,1.15,0.25,15.00,3.75,0.10,0.99,0.09,0.50,5.00,2.30,0.00
0.00,1.00,16.67,0.00,0.00,0.00,0.00,0.25,5.02,1.16,0.25,15.00,3.75,0.10,0.99,0.09,0.50,5.00,2.30,0.00
0.00,0.99,16.54,0.00,0.00,0.00,0.00,0.25,5.20,1.20,0.25,15.00,3.75,0.09,0.99,0.08,0.50,5.00,2.30,0.00
-0.03,0.98,16.21,-0.46,0.00,0.00,0.00,0.25,4.15,0.96,0.25,3.50,0.88,0.09,0.99,0.08,0.50,3.95,1.82,0.00
-0.01,1.00,18.61,-0.18,0.00,0.00,0.00,0.25,6.78,1.56,0.25,3.50,0.88,0.10,0.99,0.09,0.50,6.59,3.04,0.00
0.17,1.00,32.50,4.96,0.00,0.00,0.00,0.25,26.04,6.00,0.25,3.50,0.88,0.08,0.99,0.08,0.50,25.84,11.91,0.00
0.20,0.83,31.60,5.78,0.00,0.00,0.00,0.25,17.04,3.93,0.25,14.04,3.51,0.05,11.32,0.54,0.50,17.74,8.18,0.00
-0.02,0.62,21.80,-0.50,0.00,0.00,0.00,0.25,6.85,1.58,0.25,10.72,2.68,0.00,6.45,0.00,0.50,8.57,3.95,0.00
0.00,0.63,22.02,0.00,0.00,0.00,0.00,0.25,7.67,1.77,0.25,6.00,1.50,0.00,7.70,0.02,0.50,8.35,3.85,0.00
0.00,0.63,19.50,0.00,0.00,0.00,0.00,0.25,6.67,1.54,0.25,5.11,1.28,0.00,6.10,0.01,0.50,7.13,3.29,0.00
-0.01,0.62,18.38,-0.14,0.00,0.00,0.00,0.25,3.80,0.88,0.25,5.00,1.25,0.00,0.72,0.00,0.50,4.94,2.28,0.00
-0.01,0.62,17.93,-0.14,0.00,0.00,0.00,0.25,3.65,0.84,0.25,6.00,1.50,0.00,0.73,0.00,0.50,5.85,2.70,0.00
-0.01,0.62,17.52,-0.13,0.00,0.00,0.00,0.25,3.25,0.75,0.25,2.00,0.50,0.00,0.50,0.00,0.50,3.15,1.45,0.00
-0.42,0.62,17.12,-7.19,0.00,0.00,0.00,0.25,3.37,0.78,0.25,2.00,0.50,0.00,0.72,0.00,0.50,3.17,1.46,0.00
0.00,1.00,17.31,0.00,0.00,0.00,0.00,0.25,3.70,0.85,0.25,2.00,0.50,0.10,0.67,0.06,0.50,3.50,1.61,0.00
