BattSchedule_MW,SOC_percent,EnergyPriceDA_JPYperMWh,EnergyProfit_JPY,primaryCapacity,primaryPrice_JPYperMW,primaryRev_JPY,secondary_1Capacity,secondary_1Price_JPYperMW,secondary_1Rev_JPY,tertiary_1Capacity,tertiary_1Price_JPYperMW,tertiary_1Rev_JPY,tertiary_2Capacity,tertiary_2Price_JPYperMW,tertiary_2Rev_JPY,secondary_2Capacity,secondary_2Price_JPYperMW,secondary_2Rev_JPY,CapacityObligation
0.00,0.94,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,14000.00,3226.84,0.50,2380.00,548.56,0.00,0.00,0.00,0.00
-0.28,0.94,20.00,-2.78,0.00,0.00,0.00,0.00,0.00,0.00,0.50,14000.00,3226.84,0.22,2380.00,243.81,0.00,0.00,0.00,0.00
0.00,1.00,4460.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,14000.00,3226.84,0.50,2380.00,548.56,0.00,0.00,0.00,0.00
0.00,1.00,13350.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3920.00,903.52,0.00,0.00,0.00,0.00
-0.00,1.00,17500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3920.00,903.52,0.00,0.00,0.00,0.00
0.00,1.00,19600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3920.00,903.52,0.00,0.00,0.00,0.00
0.00,1.00,22730.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3920.00,903.52,0.00,0.00,0.00,0.00
0.00,1.00,23510.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3920.00,903.52,0.00,0.00,0.00,0.00
0.00,1.00,23010.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3920.00,903.52,0.00,0.00,0.00,0.00
0.00,1.00,23450.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,1520.00,350.34,0.00,0.00,0.00,0.00
0.10,1.00,23770.00,1095.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,1520.00,350.34,0.00,0.00,0.00,0.00
0.50,0.97,24130.00,5561.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,1520.00,350.34,0.00,0.00,0.00,0.00
0.00,0.85,23500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,1520.00,350.34,0.00,0.00,0.00,0.00
0.00,0.85,23710.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,1520.00,350.34,0.00,0.00,0.00,0.00
0.00,0.85,23260.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,1520.00,350.34,0.00,0.00,0.00,0.00
-0.00,0.85,23000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3020.00,696.08,0.50,8800.00,2028.30,0.00,0.00,0.00,0.00
0.00,0.85,21950.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3020.00,696.08,0.50,8800.00,2028.30,0.00,0.00,0.00,0.00
0.00,0.85,21860.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3020.00,696.08,0.50,8800.00,2028.30,0.00,0.00,0.00,0.00
0.00,0.85,21290.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3020.00,696.08,0.50,8800.00,2028.30,0.00,0.00,0.00,0.00
0.00,0.85,21310.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3020.00,696.08,0.50,8800.00,2028.30,0.00,0.00,0.00,0.00
0.00,0.85,19830.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3020.00,696.08,0.50,8800.00,2028.30,0.00,0.00,0.00,0.00
0.00,0.85,21310.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,14460.00,3332.87,0.00,0.00,0.00,0.00
0.00,0.85,19830.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,14460.00,3332.87,0.00,0.00,0.00,0.00
0.00,0.85,19830.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,14460.00,3332.87,0.00,0.00,0.00,0.00
0.00,0.85,19970.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,14460.00,3332.87,0.00,0.00,0.00,0.00
0.00,0.85,19830.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,14460.00,3332.87,0.00,0.00,0.00,0.00
0.00,0.85,20730.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,14460.00,3332.87,0.00,0.00,0.00,0.00
0.00,0.85,20000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3020.00,696.08,0.50,9220.00,2125.10,0.00,0.00,0.00,0.00
0.00,0.85,19830.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3020.00,696.08,0.50,9220.00,2125.10,0.00,0.00,0.00,0.00
0.00,0.85,19830.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3020.00,696.08,0.50,9220.00,2125.10,0.00,0.00,0.00,0.00
0.00,0.85,19970.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,3020.00,696.08,0.50,9220.00,2125.10,0.00,0.00,0.00,0.00
