BattSchedule_MW,SOC_percent,EnergyPriceDA_AUDperMWh,EnergyProfit_AUD,L1SCapacity,L1SPrice_AUDperMW,L1SRev_AUD,R6SCapacity,R6SPrice_AUDperMW,R6SRev_AUD,R1SCapacity,R1SPrice_AUDperMW,R1SRev_AUD,R60SCapacity,R60SPrice_AUDperMW,R60SRev_AUD,L60SCapacity,L60SPrice_AUDperMW,L60SRev_AUD,RREGCapacity,RREGPrice_AUDperMW,RREGRev_AUD,LREGCapacity,LREGPrice_AUDperMW,LREGRev_AUD,R5MCapacity,R5MPrice_AUDperMW,R5MRev_AUD,L6SCapacity,L6SPrice_AUDperMW,L6SRev_AUD,CapacityObligation
0.00,0.10,-3.23,-0.00,0.00,0.00,0.00,0.07,0.71,0.05,0.00,0.00,0.00,0.43,0.87,0.34,0.50,17.97,8.99,0.50,5.47,2.52,0.50,22.35,11.17,0.00,0.44,0.00,-0.00,6.34,-0.00,0.00
0.00,0.10,-33.86,-0.00,0.00,0.00,0.00,0.07,0.39,0.03,0.00,0.00,0.00,0.43,0.72,0.28,0.50,24.86,12.43,0.50,6.94,3.20,0.50,38.59,19.29,0.00,0.49,0.00,-0.00,10.34,-0.00,0.00
0.00,0.10,-41.43,-0.00,0.00,0.00,0.00,0.07,0.42,0.03,0.00,0.00,0.00,0.43,0.79,0.31,0.50,50.15,25.07,0.50,14.46,6.67,0.50,64.43,32.21,0.00,0.42,0.00,0.00,10.91,0.00,0.00
0.00,0.10,-33.82,-0.00,0.00,0.00,0.00,0.07,0.39,0.03,0.00,0.00,0.00,0.43,0.44,0.17,0.50,43.00,21.50,0.50,12.64,5.83,0.50,52.65,26.33,0.00,0.40,0.00,-0.00,13.94,-0.00,0.00
0.00,0.10,-28.25,-0.00,0.00,0.00,0.00,0.07,0.66,0.04,0.00,0.00,0.00,0.43,0.65,0.26,0.50,26.25,13.12,0.50,12.66,5.84,0.50,47.89,23.95,0.00,0.39,0.00,-0.00,16.95,-0.00,0.00
0.00,0.10,-38.58,-0.00,0.00,0.00,0.00,0.50,0.95,0.44,0.00,0.00,0.00,-0.00,0.86,-0.00,0.50,20.70,10.35,0.50,12.85,5.92,0.50,48.55,24.27,0.00,0.39,0.00,-0.00,11.25,-0.00,0.00
0.00,0.13,-34.93,-0.00,0.00,0.00,0.00,0.23,0.96,0.20,0.00,0.00,0.00,0.27,0.86,0.22,0.50,19.12,9.56,0.50,13.03,6.01,0.50,44.58,22.29,0.00,0.39,0.00,-0.00,5.67,-0.00,0.00
0.00,0.15,-35.61,-0.00,0.00,0.00,0.00,0.50,0.94,0.43,0.00,0.00,0.00,0.00,0.86,0.00,0.50,19.96,9.98,0.50,13.11,6.04,0.50,36.44,18.22,0.00,0.39,0.00,-0.00,5.10,-0.00,0.00
0.00,0.18,-43.13,-0.00,0.00,0.00,0.00,-0.00,0.44,-0.00,0.00,0.00,0.00,0.50,0.82,0.38,0.50,14.24,7.12,0.50,14.33,6.61,0.50,21.59,10.80,0.00,0.39,0.00,0.00,1.22,0.00,0.00
-0.45,0.17,-37.91,17.12,0.00,0.00,0.00,0.50,0.39,0.18,0.00,0.00,0.00,0.00,0.46,0.00,0.05,4.25,0.21,0.50,10.44,4.81,0.50,8.31,4.15,0.00,0.39,0.00,0.00,0.77,0.00,0.00
