BattSchedule_MW,SOC_percent,EnergyPriceDA_$perMWh,EnergyProfit_$,non_spinCapacity,non_spinPrice_$perMW,non_spinRev_$,reg_downCapacity,reg_downPrice_$perMW,reg_downRev_$,spinCapacity,spinPrice_$perMW,spinRev_$,reg_upCapacity,reg_upPrice_$perMW,reg_upRev_$,CapacityObligation
0.00,0.89,68.01,0.00,0.00,0.35,0.00,0.05,5.37,0.27,0.39,0.35,0.13,0.05,0.35,0.02,0.00
0.38,0.88,69.65,24.64,0.00,0.35,0.00,0.05,5.31,0.26,0.39,0.45,0.16,0.05,0.69,0.03,0.00
0.00,0.10,62.28,0.00,0.00,0.35,0.00,0.05,8.80,0.44,0.00,1.00,0.00,0.05,3.64,0.17,0.00
0.00,0.10,48.06,0.04,0.00,0.35,0.00,0.05,6.58,0.33,0.00,1.00,0.00,0.05,5.00,0.23,0.00
0.00,0.10,26.26,0.00,0.00,0.35,0.00,0.05,6.51,0.32,0.00,1.00,0.00,0.05,1.50,0.06,0.00
0.00,0.10,20.87,0.00,0.00,0.35,0.00,0.05,7.69,0.38,0.00,0.35,0.00,0.05,1.00,0.04,0.00
0.00,0.10,17.91,0.00,0.00,0.35,0.00,0.05,7.39,0.37,0.00,0.35,0.00,0.05,0.55,0.02,0.00
-0.49,0.10,12.80,-6.23,0.00,0.35,0.00,0.05,8.58,0.43,0.00,0.35,0.00,0.05,0.44,0.02,0.00
-0.00,1.00,12.65,-0.06,0.00,0.35,0.00,0.05,8.18,0.41,0.45,0.35,0.14,0.05,0.38,0.02,0.00
-0.00,1.00,18.08,-0.09,0.00,0.35,0.00,0.05,10.00,0.50,0.45,0.35,0.14,0.05,0.40,0.02,0.00
-0.00,1.00,48.10,-0.24,0.00,0.35,0.00,0.05,7.30,0.36,0.45,0.35,0.14,0.05,2.04,0.09,0.00
-0.00,1.00,71.99,-0.36,0.00,0.37,0.00,0.05,8.30,0.41,0.45,0.41,0.17,0.05,2.95,0.14,0.00
0.00,1.00,75.39,0.00,0.00,0.92,0.00,0.05,6.43,0.32,0.45,0.92,0.38,0.05,2.64,0.12,0.00
0.00,0.99,75.69,0.00,0.00,1.00,0.00,0.05,5.03,0.25,0.44,1.00,0.41,0.05,3.40,0.16,0.00
0.00,0.98,75.81,0.00,0.00,1.00,0.00,0.05,6.11,0.30,0.44,1.00,0.40,0.05,1.50,0.07,0.00
0.00,0.97,75.41,0.00,0.00,0.64,0.00,0.05,6.11,0.30,0.44,0.64,0.26,0.05,1.45,0.07,0.00
0.00,0.96,75.35,0.00,0.00,0.45,0.00,0.05,6.11,0.30,0.43,0.45,0.18,0.05,1.18,0.05,0.00
0.00,0.96,74.25,0.00,0.00,0.35,0.00,0.05,5.73,0.29,0.43,0.35,0.14,0.05,1.50,0.07,0.00
0.00,0.95,73.16,0.00,0.00,0.35,0.00,0.05,7.24,0.36,0.42,1.00,0.39,0.05,1.00,0.05,0.00
0.00,0.94,71.23,0.00,0.00,0.23,0.00,0.05,5.00,0.25,0.42,0.23,0.09,0.05,0.48,0.02,0.00
-0.04,0.93,70.44,-3.02,0.00,0.21,0.00,0.05,4.20,0.21,0.41,0.21,0.08,0.05,0.72,0.03,0.00
-0.00,1.00,70.70,-0.26,0.00,0.14,0.00,0.05,4.18,0.21,0.46,0.14,0.06,0.00,0.14,0.00,0.00
-0.00,1.00,70.71,-0.35,0.00,0.35,0.00,0.05,5.00,0.25,0.45,0.35,0.14,0.05,0.38,0.02,0.00
-0.00,1.00,72.08,-0.36,0.00,0.65,0.00,0.05,5.00,0.25,0.45,0.65,0.27,0.05,0.65,0.03,0.00
0.00,1.00,89.74,0.00,0.00,0.83,0.00,0.05,5.72,0.29,0.45,0.83,0.34,0.05,0.83,0.04,0.00
