BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,non_spinCapacity,non_spinPrice_USDperMW,non_spinRev_USD,spinCapacity,spinPrice_USDperMW,spinRev_USD,reg_downCapacity,reg_downPrice_USDperMW,reg_downRev_USD,reg_upCapacity,reg_upPrice_USDperMW,reg_upRev_USD,CapacityObligation
0.00,0.99,96.58,0.00,0.00,0.15,0.00,0.42,13.26,5.19,0.25,6.48,1.62,0.25,13.46,3.10,0.00
0.17,0.98,87.57,13.49,0.00,0.15,0.00,0.42,9.00,3.47,0.25,3.61,0.90,0.25,10.90,2.51,0.00
0.00,0.63,77.02,0.00,0.00,0.15,0.00,0.24,2.89,0.65,0.25,3.60,0.90,0.25,2.89,0.67,0.00
0.00,0.62,73.82,0.00,0.00,0.15,0.00,0.24,4.00,0.89,0.25,5.99,1.50,0.25,4.71,1.09,0.00
0.00,0.61,66.46,0.00,0.00,0.15,0.00,0.24,2.10,0.46,0.25,3.00,0.75,0.25,6.12,1.41,0.00
0.00,0.60,53.85,0.00,0.00,0.15,0.00,0.48,3.00,1.33,0.25,5.00,1.25,0.00,3.02,0.00,0.00
-0.18,0.64,51.57,-9.09,0.00,0.15,0.00,0.50,3.00,1.38,0.25,5.00,1.25,0.00,3.00,0.00,0.00
0.00,1.00,51.07,0.00,0.00,0.15,0.00,0.50,3.00,1.38,0.25,5.37,1.34,0.18,3.00,0.50,0.00
-0.01,1.00,50.49,-0.34,0.00,0.15,0.00,0.43,1.50,0.60,0.25,5.00,1.25,0.25,2.60,0.60,0.00
0.00,1.00,51.31,0.00,0.00,0.15,0.00,0.50,1.50,0.69,0.25,5.00,1.25,0.18,2.26,0.38,0.00
0.00,1.00,59.33,0.00,0.00,0.15,0.00,0.50,4.00,1.84,0.25,5.00,1.25,0.18,4.00,0.67,0.00
0.05,1.00,82.71,3.54,0.00,0.15,0.00,0.43,10.32,4.10,0.25,3.00,0.75,0.25,10.32,2.38,0.00
0.37,0.89,78.40,26.90,0.00,0.15,0.00,0.38,13.00,4.53,0.25,6.63,1.66,0.25,16.89,3.89,0.00
0.00,0.14,58.36,0.00,0.00,0.15,0.00,0.00,4.00,0.00,0.25,4.46,1.12,0.25,6.40,1.48,0.00
0.00,0.14,48.77,0.00,0.00,0.15,0.00,0.00,2.91,0.00,0.25,4.99,1.25,0.25,6.06,1.38,0.00
0.00,0.13,40.11,0.00,0.00,0.15,0.00,0.00,1.50,0.00,0.25,6.00,1.50,0.25,8.01,1.82,0.00
-0.47,0.13,34.53,-16.37,0.00,0.15,0.00,0.00,1.24,0.00,0.25,8.07,2.02,0.24,3.00,0.68,0.00
-0.01,1.00,33.88,-0.23,0.00,0.15,0.00,0.43,1.15,0.46,0.25,6.00,1.50,0.25,2.90,0.67,0.00
-0.01,1.00,35.34,-0.24,0.00,0.15,0.00,0.43,1.17,0.46,0.25,6.00,1.50,0.25,2.93,0.68,0.00
-0.01,1.00,40.06,-0.27,0.00,0.15,0.00,0.43,1.00,0.40,0.25,10.99,2.75,0.25,4.48,1.03,0.00
-0.01,1.00,56.46,-0.38,0.00,0.15,0.00,0.43,4.10,1.63,0.25,5.71,1.43,0.25,5.86,1.35,0.00
0.00,1.00,78.70,0.00,0.00,0.15,0.00,0.50,12.00,5.53,0.25,4.16,1.04,0.18,12.00,2.00,0.00
0.00,1.00,92.40,0.00,0.00,0.15,0.00,0.50,22.02,10.15,0.25,10.00,2.50,0.18,22.27,3.71,0.00
0.00,1.00,86.46,0.00,0.00,0.20,0.00,0.50,16.86,7.77,0.25,3.07,0.77,0.18,16.86,2.81,0.00
0.00,1.00,80.07,0.00,0.00,0.20,0.00,0.43,10.00,3.97,0.25,5.23,1.31,0.25,10.24,2.36,0.00
0.00,0.99,78.34,0.00,0.00,0.15,0.00,0.42,9.00,3.52,0.25,5.99,1.50,0.25,9.00,2.07,0.00
0.00,0.98,69.76,0.00,0.00,0.15,0.00,0.42,4.00,1.54,0.25,9.36,2.34,0.25,4.00,0.92,0.00
0.00,0.96,60.92,0.00,0.00,0.15,0.00,0.50,2.91,1.34,0.25,3.90,0.98,0.16,2.91,0.43,0.00
0.00,0.97,58.24,0.00,0.00,0.15,0.00,0.41,4.00,1.53,0.25,5.99,1.50,0.25,6.00,1.38,0.00
0.00,0.95,51.95,0.00,0.00,0.15,0.00,0.50,3.00,1.38,0.25,5.00,1.25,0.16,3.00,0.44,0.00
-0.02,0.96,49.39,-0.99,0.00,0.15,0.00,0.50,2.25,1.04,0.25,5.00,1.25,0.16,2.75,0.41,0.00
