BattSchedule_MW,SOC_percent,EnergyPriceDA_$perMWh,EnergyProfit_$,non_spinCapacity,non_spinPrice_$perMW,non_spinRev_$,reg_downCapacity,reg_downPrice_$perMW,reg_downRev_$,spinCapacity,spinPrice_$perMW,spinRev_$,reg_upCapacity,reg_upPrice_$perMW,reg_upRev_$,CapacityObligation
0.00,0.95,67.56,0.00,0.30,0.35,0.10,0.05,5.00,0.25,0.50,0.35,0.16,0.05,0.40,0.02,0.00
0.00,0.95,60.18,0.00,0.30,0.35,0.10,0.05,5.00,0.25,0.50,0.35,0.16,0.05,0.85,0.04,0.00
0.00,0.94,60.17,0.00,0.30,0.35,0.10,0.05,5.00,0.25,0.50,0.35,0.16,0.05,0.90,0.04,0.00
0.00,0.94,59.57,0.00,0.29,0.35,0.09,0.05,5.00,0.25,0.50,0.35,0.16,0.05,0.85,0.04,0.00
0.00,0.93,61.04,0.00,0.29,0.35,0.09,0.05,5.00,0.25,0.50,0.35,0.16,0.05,0.43,0.02,0.00
0.00,0.93,68.96,0.00,0.29,0.35,0.09,0.05,5.77,0.29,0.50,0.35,0.16,0.05,0.36,0.02,0.00
1.00,0.92,78.61,72.28,0.00,0.35,0.00,0.05,7.31,0.36,0.00,0.45,0.00,-0.00,1.10,-0.00,0.00
0.64,0.42,71.06,41.80,0.00,0.35,0.00,0.05,6.56,0.33,0.31,0.45,0.13,0.05,5.00,0.23,0.00
0.00,0.10,56.79,0.05,0.00,0.35,0.00,0.05,6.17,0.31,0.00,0.45,0.00,0.05,5.00,0.23,0.00
0.00,0.10,42.41,0.00,0.00,0.35,0.00,0.05,5.85,0.29,0.00,0.45,0.00,0.05,1.50,0.06,0.00
0.00,0.10,33.48,0.00,0.00,0.35,0.00,0.05,5.91,0.29,0.00,0.45,0.00,0.05,1.50,0.06,0.00
-0.06,0.10,27.27,-1.66,0.00,0.35,0.00,0.05,5.72,0.29,0.00,0.35,0.00,0.05,0.54,0.02,0.00
-0.95,0.13,25.55,-24.21,0.00,0.35,0.00,0.05,6.24,0.31,0.06,0.35,0.02,0.05,0.53,0.02,0.00
-0.95,0.57,23.59,-22.35,0.11,0.35,0.03,0.05,6.45,0.32,0.50,0.35,0.16,0.05,0.59,0.03,0.00
-0.01,1.00,32.50,-0.41,0.32,0.35,0.10,0.05,6.23,0.31,0.50,0.35,0.16,0.05,0.59,0.03,0.00
-0.01,1.00,54.59,-0.68,0.32,0.35,0.10,0.05,6.05,0.30,0.50,0.35,0.16,0.05,1.88,0.09,0.00
0.00,1.00,74.90,0.00,0.32,0.35,0.10,0.05,7.99,0.40,0.50,0.35,0.16,0.05,2.14,0.10,0.00
0.05,0.99,75.67,3.25,0.32,0.76,0.22,0.05,7.11,0.35,0.50,0.76,0.35,0.05,0.76,0.03,0.00
