BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,non_spinCapacity,non_spinPrice_USDperMW,non_spinRev_USD,spinCapacity,spinPrice_USDperMW,spinRev_USD,reg_downCapacity,reg_downPrice_USDperMW,reg_downRev_USD,reg_upCapacity,reg_upPrice_USDperMW,reg_upRev_USD,CapacityObligation
0.00,1.00,79.54,0.00,0.10,0.20,0.02,0.50,12.00,5.53,0.25,5.80,1.45,0.25,12.00,2.77,0.00
0.25,0.99,90.52,20.86,0.00,1.00,0.00,0.50,22.04,10.16,0.25,9.89,2.47,0.25,22.04,5.08,0.00
0.10,0.73,84.08,7.77,0.03,0.25,0.01,0.50,15.74,7.26,0.25,5.13,1.28,0.25,15.74,3.63,0.00
0.00,0.63,78.52,0.00,0.00,0.25,0.00,0.50,10.11,4.66,0.25,5.00,1.25,0.25,10.11,2.33,0.00
0.00,0.62,75.54,0.00,0.00,0.15,0.00,0.50,7.85,3.62,0.25,5.81,1.45,0.25,7.85,1.81,0.00
0.00,0.61,70.28,0.00,0.00,0.15,0.00,0.49,6.00,2.73,0.25,3.70,0.93,0.25,6.00,1.38,0.00
0.00,0.61,61.97,0.00,0.00,0.15,0.00,0.50,4.23,1.95,0.25,2.96,0.74,0.24,4.23,0.92,0.00
0.00,0.60,55.13,0.00,0.00,0.15,0.00,0.50,3.77,1.74,0.25,3.94,0.99,0.23,3.77,0.80,0.00
-0.03,0.60,47.46,-1.60,0.00,0.15,0.00,0.48,3.00,1.32,0.25,7.18,1.80,0.25,4.00,0.92,0.00
-0.01,0.62,46.21,-0.35,0.00,0.15,0.00,0.50,2.11,0.97,0.25,5.00,1.25,0.25,3.99,0.92,0.00
-0.42,0.62,46.11,-19.38,0.00,0.15,0.00,0.50,3.00,1.38,0.25,5.00,1.25,0.25,3.99,0.92,0.00
-0.01,1.00,46.25,-0.35,0.00,0.15,0.00,0.50,3.00,1.38,0.25,5.00,1.25,0.25,3.99,0.92,0.00
-0.01,1.00,47.68,-0.36,0.00,0.15,0.00,0.50,3.00,1.38,0.25,3.33,0.83,0.25,3.68,0.85,0.00
0.00,1.00,56.13,0.00,0.10,0.15,0.01,0.50,2.91,1.34,0.25,3.00,0.75,0.25,4.00,0.92,0.00
0.25,0.99,72.55,16.72,0.00,0.15,0.00,0.50,5.00,2.30,0.25,3.53,0.88,0.25,5.09,1.17,0.00
0.61,0.73,73.76,41.57,0.00,0.15,0.00,0.14,5.00,0.64,0.25,3.99,1.00,0.25,10.23,2.36,0.00
0.00,0.12,54.40,0.00,0.00,0.15,0.00,0.00,2.91,0.00,0.25,4.28,1.07,0.25,5.28,1.22,0.00
0.00,0.12,47.48,0.00,0.00,0.15,0.00,0.00,2.65,0.00,0.25,6.00,1.50,0.25,4.02,0.92,0.00
0.00,0.12,38.82,0.00,0.00,0.15,0.00,0.00,3.30,0.00,0.25,6.00,1.50,0.25,6.42,1.46,0.00
-0.55,0.11,34.61,-19.02,0.00,0.15,0.00,0.00,1.75,0.00,0.25,16.73,4.18,0.24,3.61,0.81,0.00
-0.42,0.62,34.08,-14.32,0.00,0.15,0.00,0.50,1.00,0.46,0.25,8.38,2.09,0.25,4.94,1.14,0.00
-0.01,1.00,34.15,-0.33,0.10,0.15,0.01,0.50,1.07,0.49,0.25,7.31,1.83,0.25,2.94,0.68,0.00
-0.01,1.00,37.39,-0.36,0.10,0.15,0.01,0.50,3.13,1.44,0.25,14.20,3.55,0.25,5.00,1.15,0.00
-0.01,1.00,51.79,-0.39,0.00,0.15,0.00,0.50,4.84,2.23,0.25,14.42,3.60,0.25,6.21,1.43,0.00
0.00,1.00,70.23,0.00,0.10,0.15,0.01,0.50,7.69,3.54,0.25,5.04,1.26,0.25,7.69,1.77,0.00
0.25,0.99,83.41,19.23,0.00,0.15,0.00,0.50,12.77,5.89,0.25,6.94,1.74,0.25,12.77,2.94,0.00
0.08,0.73,74.41,5.42,0.03,0.15,0.00,0.50,10.44,4.81,0.25,5.99,1.50,0.25,10.44,2.41,0.00
0.00,0.65,70.26,0.00,0.01,0.15,0.00,0.50,7.69,3.54,0.25,3.99,1.00,0.25,7.69,1.77,0.00
0.00,0.64,65.45,0.00,0.01,0.15,0.00,0.50,7.84,3.61,0.25,4.02,1.00,0.25,7.84,1.81,0.00
0.00,0.63,60.79,0.00,0.00,0.15,0.00,0.50,5.14,2.37,0.25,3.99,1.00,0.25,5.94,1.37,0.00
0.00,0.63,57.38,0.00,0.00,0.15,0.00,0.50,4.19,1.93,0.25,2.87,0.72,0.25,4.21,0.97,0.00
0.00,0.62,53.27,0.00,0.00,0.15,0.00,0.50,4.23,1.95,0.25,2.64,0.66,0.25,4.23,0.97,0.00
-0.02,0.61,49.63,-0.74,0.00,0.15,0.00,0.49,3.00,1.36,0.25,5.00,1.25,0.25,4.00,0.92,0.00
-0.01,0.62,47.87,-0.36,0.00,0.15,0.00,0.50,2.91,1.34,0.25,4.22,1.05,0.25,4.00,0.92,0.00
-0.01,0.62,45.56,-0.34,0.00,0.15,0.00,0.50,3.00,1.38,0.25,3.00,0.75,0.25,4.00,0.92,0.00
-0.01,0.62,44.90,-0.34,0.00,0.15,0.00,0.50,3.00,1.38,0.25,3.00,0.75,0.25,4.00,0.92,0.00
-0.17,0.62,44.71,-7.39,0.00,0.15,0.00,0.50,3.00,1.38,0.25,3.00,0.75,0.25,3.99,0.92,0.00
0.00,0.77,52.29,0.00,0.04,0.15,0.01,0.50,4.00,1.84,0.25,2.00,0.50,0.25,4.00,0.92,0.00
0.25,0.76,65.00,14.98,0.00,0.15,0.00,0.50,5.00,2.30,0.25,3.00,0.75,0.25,5.04,1.16,0.00
0.37,0.50,60.62,20.63,0.00,0.15,0.00,0.38,5.00,1.76,0.25,4.93,1.23,0.25,9.59,2.21,0.00
0.00,0.13,50.18,0.00,0.00,0.15,0.00,0.01,4.00,0.02,0.25,8.00,2.00,0.25,5.04,1.16,0.00
0.00,0.12,45.06,0.00,0.00,0.15,0.00,0.00,1.50,0.01,0.25,4.99,1.25,0.25,3.10,0.71,0.00
0.00,0.12,38.36,0.00,0.00,0.12,0.00,0.00,2.99,0.01,0.25,9.58,2.39,0.25,5.34,1.23,0.00
-0.54,0.12,31.95,-17.39,0.00,0.12,0.00,0.00,1.50,0.00,0.25,17.33,4.33,0.25,4.14,0.95,0.00
