BattSchedule_MW,SOC_percent,EnergyPriceDA_¥perMWh,EnergyProfit_¥,CapacityObligation
0.45,1.00,1058.00,438.94,0.00
-0.00,0.10,707.85,0.00,0.00
-0.00,0.10,548.50,0.00,0.00
-0.00,0.10,542.90,0.00,0.00
-0.00,0.10,470.00,0.00,0.00
-0.00,0.10,389.93,0.00,0.00
0.00,0.10,373.56,0.00,0.00
0.00,0.10,281.70,0.00,0.00
0.00,0.10,254.97,0.00,0.00
0.00,0.10,227.53,0.00,0.00
0.00,0.10,210.75,0.00,0.00
-0.49,0.10,206.69,-100.88,0.00
0.00,1.00,221.20,0.00,0.00
0.00,1.00,263.59,0.00,0.00
0.00,1.00,340.50,0.00,0.00
-0.00,1.00,602.95,0.00,0.00
-0.00,1.00,682.30,0.00,0.00
0.00,1.00,608.98,0.00,0.00
0.45,1.00,845.60,350.82,0.00
-0.49,0.10,531.10,-259.22,0.00
0.00,1.00,635.64,0.00,0.00
0.00,1.00,564.82,0.00,0.00
-0.00,1.00,772.50,0.00,0.00
0.45,1.00,883.31,366.47,0.00
-0.00,0.10,833.44,0.00,0.00
-0.00,0.10,477.39,0.00,0.00
-0.00,0.10,385.63,0.00,0.00
-0.00,0.10,380.58,0.00,0.00
0.00,0.10,344.93,0.00,0.00
0.00,0.10,297.23,0.00,0.00
0.00,0.10,272.62,0.00,0.00
-0.00,0.10,349.00,0.00,0.00
0.00,0.10,296.44,0.00,0.00
0.00,0.10,222.69,0.00,0.00
0.00,0.10,189.62,0.00,0.00
-0.49,0.10,178.67,-87.21,0.00
0.00,1.00,195.77,0.00,0.00
0.00,1.00,231.91,0.00,0.00
-0.00,1.00,350.19,0.00,0.00
-0.00,1.00,441.65,0.00,0.00
0.00,1.00,434.11,0.00,0.00
0.00,1.00,399.65,0.00,0.00
0.00,1.00,392.21,0.00,0.00
0.00,1.00,367.69,0.00,0.00
0.00,1.00,383.21,0.00,0.00
0.00,1.00,390.12,0.00,0.00
0.00,1.00,439.46,0.00,0.00
-0.00,1.00,538.49,0.00,0.00
0.45,1.00,613.28,254.44,0.00
-0.00,0.10,561.53,0.00,0.00
0.00,0.10,517.50,0.00,0.00
-0.00,0.10,520.17,0.00,0.00
-0.00,0.10,461.80,0.00,0.00
-0.00,0.10,397.50,0.00,0.00
-0.00,0.10,389.86,0.00,0.00
0.00,0.10,132.84,0.00,0.00
0.00,0.10,113.25,0.00,0.00
0.00,0.10,86.20,0.00,0.00
-0.49,0.10,70.13,-34.23,0.00
0.00,1.00,78.26,0.00,0.00
0.00,1.00,110.16,0.00,0.00
-0.00,1.00,238.88,0.00,0.00
-0.00,1.00,365.25,0.00,0.00
-0.00,1.00,525.35,0.00,0.00
0.00,1.00,500.62,0.00,0.00
0.00,1.00,426.68,0.00,0.00
0.00,1.00,405.79,0.00,0.00
0.00,1.00,371.44,0.00,0.00
0.00,1.00,390.43,0.00,0.00
0.00,1.00,409.55,0.00,0.00
0.00,1.00,500.43,0.00,0.00
-0.00,1.00,613.35,0.00,0.00
0.45,1.00,965.57,400.60,0.00
-0.00,0.10,675.16,0.00,0.00
-0.00,0.10,556.22,0.00,0.00
-0.00,0.10,554.00,0.00,0.00
-0.00,0.10,482.34,0.00,0.00
0.00,0.10,403.44,0.00,0.00
0.00,0.10,384.00,0.00,0.00
0.00,0.10,350.68,0.00,0.00
0.00,0.10,330.21,0.00,0.00
0.00,0.10,309.79,0.00,0.00
0.00,0.10,293.11,0.00,0.00
0.00,0.10,304.55,0.00,0.00
0.00,0.10,322.66,0.00,0.00
0.00,0.10,359.48,0.00,0.00
0.00,0.10,399.42,0.00,0.00
0.00,0.10,441.24,0.00,0.00
0.00,0.10,406.73,0.00,0.00
0.00,0.10,368.79,0.00,0.00
0.00,0.10,335.05,0.00,0.00
-0.49,0.10,290.86,-141.97,0.00
0.00,1.00,319.84,0.00,0.00
0.00,1.00,354.75,0.00,0.00
0.00,1.00,393.58,0.00,0.00
0.00,1.00,435.01,0.00,0.00
0.45,1.00,676.11,280.50,0.00
-0.00,0.10,525.65,0.00,0.00
-0.00,0.10,447.25,0.00,0.00
-0.00,0.10,440.62,0.00,0.00
-0.00,0.10,410.48,0.00,0.00
-0.00,0.10,379.47,0.00,0.00
-0.00,0.10,350.99,0.00,0.00
-0.00,0.10,318.53,0.00,0.00
-0.00,0.10,298.12,0.00,0.00
-0.00,0.10,241.36,0.00,0.00
0.00,0.10,-10.00,-0.00,0.00
-0.49,0.10,-80.00,39.05,0.00
0.00,1.00,189.50,0.00,0.00
0.00,1.00,327.69,0.00,0.00
0.00,1.00,399.04,0.00,0.00
-0.00,1.00,440.29,0.00,0.00
0.00,1.00,427.00,0.00,0.00
0.00,1.00,410.55,0.00,0.00
0.00,1.00,396.87,0.00,0.00
0.00,1.00,371.20,0.00,0.00
0.00,1.00,388.81,0.00,0.00
0.00,1.00,408.19,0.00,0.00
0.00,1.00,431.30,0.00,0.00
-0.00,1.00,456.00,0.00,0.00
0.45,1.00,485.94,201.61,0.00
-0.00,0.10,472.43,0.00,0.00
-0.00,0.10,454.36,0.00,0.00
-0.00,0.10,451.62,0.00,0.00
-0.00,0.10,427.47,0.00,0.00
0.00,0.10,401.17,0.00,0.00
0.00,0.10,366.88,0.00,0.00
0.00,0.10,262.30,0.00,0.00
0.00,0.10,262.82,0.00,0.00
0.00,0.10,258.05,0.00,0.00
-0.49,0.10,246.36,-120.25,0.00
0.00,1.00,249.64,0.00,0.00
0.00,1.00,270.94,0.00,0.00
0.00,1.00,299.29,0.00,0.00
0.00,1.00,373.10,0.00,0.00
-0.00,1.00,429.66,0.00,0.00
0.00,1.00,397.00,0.00,0.00
0.00,1.00,326.33,0.00,0.00
0.00,1.00,295.86,0.00,0.00
0.00,1.00,283.54,0.00,0.00
0.00,1.00,287.16,0.00,0.00
0.00,1.00,310.83,0.00,0.00
0.00,1.00,378.07,0.00,0.00
0.00,1.00,425.31,0.00,0.00
0.45,1.00,483.73,200.69,0.00
-0.00,0.10,477.78,0.00,0.00
0.00,0.10,463.03,0.00,0.00
-0.00,0.10,474.47,0.00,0.00
-0.00,0.10,441.31,0.00,0.00
0.00,0.10,394.06,0.00,0.00
0.00,0.10,343.18,0.00,0.00
0.00,0.10,301.48,0.00,0.00
0.00,0.10,301.27,0.00,0.00
0.00,0.10,276.36,0.00,0.00
0.00,0.10,262.44,0.00,0.00
0.00,0.10,262.25,0.00,0.00
0.00,0.10,293.50,0.00,0.00
0.00,0.10,348.84,0.00,0.00
0.00,0.10,391.56,0.00,0.00
0.00,0.10,412.65,0.00,0.00
0.00,0.10,387.36,0.00,0.00
0.00,0.10,336.90,0.00,0.00
0.00,0.10,302.11,0.00,0.00
-0.49,0.10,247.75,-120.93,0.00
0.00,1.00,262.50,0.00,0.00
0.00,1.00,319.50,0.00,0.00
0.00,1.00,379.25,0.00,0.00
0.00,1.00,414.75,0.00,0.00
0.45,1.00,491.36,203.85,0.00
-0.00,0.10,485.11,0.00,0.00
0.00,0.10,468.10,0.00,0.00
-0.00,0.10,471.29,0.00,0.00
-0.00,0.10,439.11,0.00,0.00
0.00,0.10,405.78,0.00,0.00
0.00,0.10,378.69,0.00,0.00
0.00,0.10,370.58,0.00,0.00
