BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,DRHCapacity,DRHPrice_USDperMW,DRHRev_USD,NQRCapacity,NQRPrice_USDperMW,NQRRev_USD,DCHCapacity,DCHPrice_USDperMW,DCHRev_USD,DMHCapacity,DMHPrice_USDperMW,DMHRev_USD,DMLCapacity,DMLPrice_USDperMW,DMLRev_USD,DCLCapacity,DCLPrice_USDperMW,DCLRev_USD,DRLCapacity,DRLPrice_USDperMW,DRLRev_USD,PQRCapacity,PQRPrice_USDperMW,PQRRev_USD,CapacityObligation,BMBuyPrice,BMSellPrice,BMBuyBackValue_USD
0.00,0.15,50.06,0.00,0.00,-3.43,-0.00,0.00,0.00,0.00,0.25,0.81,0.19,0.00,-0.48,-0.00,0.04,2.48,0.10,0.25,0.55,0.14,0.04,7.43,0.28,0.00,0.00,0.00,0.00,100.00,100.00,0.00
0.00,0.15,52.85,0.00,0.00,0.31,0.00,0.00,0.00,0.00,0.25,2.64,0.61,0.04,2.12,0.08,0.04,2.79,0.12,0.25,0.65,0.16,0.04,5.52,0.21,0.00,0.00,0.00,0.00,82.39,82.39,0.00
-0.46,0.15,41.95,-19.20,0.00,0.31,0.00,0.00,0.00,0.00,0.25,2.64,0.61,0.04,2.12,0.08,0.04,2.79,0.12,0.25,0.65,0.16,0.04,5.52,0.21,0.00,0.00,0.00,0.00,88.33,88.33,6.37
0.00,1.00,69.02,0.00,0.09,0.31,0.03,0.00,0.00,0.00,0.25,2.64,0.61,0.04,2.12,0.08,0.04,2.79,0.12,0.25,0.65,0.16,0.04,5.52,0.21,0.00,0.00,0.00,0.00,30.00,30.00,0.00
0.00,0.99,73.91,0.00,0.09,0.31,0.03,0.00,0.00,0.00,0.25,2.64,0.61,0.04,2.12,0.08,0.04,2.79,0.12,0.25,0.65,0.16,0.04,5.52,0.21,0.00,0.00,0.00,0.00,31.49,31.49,0.00
0.00,0.99,72.05,0.00,0.00,-5.80,-0.00,0.00,0.00,0.00,0.25,0.72,0.17,0.05,-0.07,-0.00,0.04,3.67,0.15,0.25,1.30,0.32,0.05,9.00,0.46,0.00,0.00,0.00,0.00,18.50,18.50,0.00
0.00,0.99,78.73,0.00,0.00,-5.80,-0.00,0.00,0.00,0.00,0.25,0.72,0.17,0.05,-0.07,-0.00,0.04,3.67,0.15,0.25,1.30,0.32,0.05,9.00,0.46,0.00,0.00,0.00,0.00,50.95,50.95,0.00
0.00,0.99,77.31,0.00,0.00,-5.80,-0.00,0.00,0.00,0.00,0.25,0.72,0.17,0.05,-0.07,-0.00,0.04,3.67,0.15,0.25,1.30,0.32,0.05,9.00,0.46,0.00,0.00,0.00,0.00,119.00,119.00,0.00
0.00,0.99,80.52,0.00,0.00,-5.80,-0.00,0.00,0.00,0.00,0.25,0.72,0.17,0.05,-0.07,-0.00,0.04,3.67,0.15,0.25,1.30,0.32,0.05,9.00,0.46,0.00,0.00,0.00,0.00,110.25,110.25,0.00
0.00,0.99,75.00,0.00,0.00,-6.48,-0.00,0.00,0.00,0.00,0.25,0.70,0.16,0.01,-0.65,-0.01,0.04,2.65,0.11,0.24,1.07,0.26,0.06,8.48,0.50,0.00,0.00,0.00,0.00,110.25,110.25,0.00
0.00,1.00,75.61,0.00,0.00,-6.48,-0.00,0.00,0.00,0.00,0.25,0.70,0.16,0.01,-0.65,-0.01,0.04,2.65,0.11,0.24,1.07,0.26,0.06,8.48,0.50,0.00,0.00,0.00,0.00,102.75,102.75,0.00
0.00,1.00,83.80,0.21,0.00,-6.48,-0.00,0.00,0.00,0.00,0.25,0.70,0.16,0.05,-0.65,-0.03,0.04,2.65,0.11,0.24,1.07,0.26,0.06,8.48,0.50,0.00,0.00,0.00,0.00,102.50,102.50,0.02
0.00,1.00,69.62,0.00,0.00,-6.48,-0.00,0.00,0.00,0.00,0.25,0.70,0.16,0.01,-0.65,-0.01,0.04,2.65,0.11,0.24,1.07,0.26,0.06,8.48,0.50,0.00,0.00,0.00,0.00,41.04,41.04,0.00
0.00,1.00,71.76,0.00,0.00,-6.99,-0.00,0.00,0.00,0.00,0.25,1.04,0.24,0.04,0.54,0.02,0.04,4.88,0.20,0.25,3.01,0.75,0.05,11.50,0.59,0.00,0.00,0.00,0.00,41.30,41.30,0.00
0.00,1.00,93.47,0.06,0.00,-6.99,-0.00,0.00,0.00,0.00,0.25,1.04,0.24,0.04,0.54,0.02,0.04,4.88,0.20,0.25,3.01,0.75,0.05,11.50,0.59,0.00,0.00,0.00,1.00,73.77,73.77,0.00
0.26,1.00,94.93,22.57,0.00,-6.99,-0.00,0.00,0.00,0.00,0.25,1.04,0.24,0.04,0.54,0.02,0.04,4.88,0.20,0.25,3.01,0.75,0.05,11.50,0.59,0.00,0.00,0.00,0.00,74.50,74.50,1.58
0.00,0.48,84.95,0.00,0.00,-6.99,-0.00,0.00,0.00,0.00,0.25,1.04,0.24,0.04,0.54,0.02,0.04,4.88,0.20,0.25,3.01,0.75,0.05,11.50,0.59,0.00,0.00,0.00,0.00,105.00,105.00,0.00
0.00,0.49,82.27,0.00,0.00,-7.20,-0.00,0.00,0.00,0.00,0.25,0.23,0.05,0.00,-1.09,-0.00,0.04,4.13,0.17,0.25,1.29,0.32,0.04,8.67,0.37,0.00,0.00,0.00,0.00,75.00,75.00,0.00
0.00,0.49,75.30,0.00,0.00,-7.20,-0.00,0.00,0.00,0.00,0.25,0.23,0.05,0.00,-1.09,-0.00,0.04,4.13,0.17,0.25,1.29,0.32,0.04,8.67,0.37,0.00,0.00,0.00,0.00,45.08,45.08,0.00
0.00,0.49,72.02,0.00,0.00,-7.20,-0.00,0.00,0.00,0.00,0.25,0.23,0.05,0.00,-1.09,-0.00,0.04,4.13,0.17,0.25,1.29,0.32,0.04,8.67,0.37,0.00,0.00,0.00,0.00,77.25,77.25,0.00
0.00,0.49,65.04,0.00,0.00,-7.20,-0.00,0.00,0.00,0.00,0.25,0.23,0.05,0.00,-1.09,-0.00,0.04,4.13,0.17,0.25,1.29,0.32,0.04,8.67,0.37,0.00,0.00,0.00,0.00,99.99,99.99,0.00
0.00,0.50,69.92,0.00,0.00,-6.62,-0.00,0.00,0.00,0.00,0.25,1.22,0.28,0.00,-1.04,-0.00,0.04,4.23,0.18,0.25,0.88,0.22,0.06,8.63,0.49,0.00,0.00,0.00,0.00,99.00,99.00,0.00
0.10,0.50,73.57,6.74,0.00,-6.62,-0.00,0.00,0.00,0.00,0.25,1.22,0.28,0.00,-1.04,-0.00,0.04,4.23,0.18,0.25,0.88,0.22,0.06,8.63,0.49,0.00,0.00,0.00,0.00,41.87,41.87,0.94
0.00,0.30,67.55,0.00,0.00,-6.62,-0.00,0.00,0.00,0.00,0.25,1.22,0.28,0.00,-1.04,-0.00,0.04,4.23,0.18,0.25,0.88,0.22,0.06,8.63,0.49,0.00,0.00,0.00,0.00,30.42,30.42,0.00
0.00,0.31,63.20,0.00,0.00,-6.62,-0.00,0.00,0.00,0.00,0.25,1.22,0.28,0.00,-1.04,-0.00,0.04,4.23,0.18,0.25,0.88,0.22,0.06,8.63,0.49,0.00,0.00,0.00,0.00,23.58,23.58,0.00
0.00,0.31,58.96,0.00,0.00,-6.72,-0.00,0.00,0.00,0.00,0.25,1.16,0.27,0.00,-0.89,-0.00,0.04,2.89,0.12,0.25,0.62,0.15,0.06,8.72,0.50,0.00,0.00,0.00,0.00,27.79,27.79,0.00
-0.37,0.31,57.80,-21.07,0.00,-6.72,-0.00,0.00,0.00,0.00,0.25,1.16,0.27,0.00,-0.89,-0.00,0.04,2.89,0.12,0.25,0.62,0.15,0.06,8.72,0.50,0.00,0.00,0.00,0.00,46.01,46.01,1.29
0.00,0.99,61.61,0.00,0.00,-6.72,-0.00,0.00,0.00,0.00,0.25,1.16,0.27,0.00,-0.89,-0.00,0.04,2.89,0.12,0.24,0.62,0.15,0.06,8.72,0.50,0.00,0.00,0.00,0.00,57.77,57.77,0.00
0.00,0.99,73.56,0.00,0.00,-6.72,-0.00,0.00,0.00,0.00,0.25,1.16,0.27,0.00,-0.89,-0.00,0.04,2.89,0.12,0.24,0.62,0.15,0.06,8.72,0.50,0.00,0.00,0.00,0.00,30.12,30.12,0.00
0.00,1.00,74.37,0.00,0.00,-8.58,-0.00,0.00,0.00,0.00,0.25,0.86,0.20,0.02,-0.55,-0.01,0.04,4.32,0.18,0.25,1.22,0.30,0.06,10.58,0.61,0.00,0.00,0.00,0.00,40.00,40.00,0.00
0.00,1.00,79.49,0.09,0.00,-8.58,-0.00,0.00,0.00,0.00,0.25,0.86,0.20,0.03,-0.55,-0.01,0.04,4.32,0.18,0.25,1.22,0.30,0.06,10.58,0.61,0.00,0.00,0.00,0.00,69.50,69.50,0.00
0.01,1.00,80.92,0.45,0.00,-8.58,-0.00,0.00,0.00,0.00,0.25,0.86,0.20,0.03,-0.55,-0.01,0.04,4.32,0.18,0.25,1.22,0.30,0.06,10.58,0.61,0.00,0.00,0.00,0.00,41.97,41.97,0.07
0.00,0.99,77.13,0.00,0.00,-8.58,-0.00,0.00,0.00,0.00,0.25,0.86,0.20,0.02,-0.55,-0.01,0.04,4.32,0.18,0.25,1.22,0.30,0.06,10.58,0.61,0.00,0.00,0.00,0.00,69.48,69.48,0.00
0.00,0.99,77.34,0.00,0.00,-8.18,-0.00,0.00,0.00,0.00,0.25,0.92,0.21,0.00,-1.61,-0.00,0.04,3.61,0.15,0.23,1.24,0.29,0.07,10.00,0.74,0.00,0.00,0.00,0.00,95.89,95.89,0.00
0.00,1.00,78.92,0.00,0.00,-8.18,-0.00,0.00,0.00,0.00,0.25,0.92,0.21,0.00,-1.61,-0.00,0.04,3.61,0.15,0.23,1.24,0.29,0.07,10.00,0.74,0.00,0.00,0.00,0.00,103.12,103.12,0.00
0.00,1.00,84.00,0.14,0.00,-8.18,-0.00,0.00,0.00,0.00,0.25,0.92,0.21,0.00,-1.61,-0.00,0.04,3.61,0.15,0.23,1.24,0.29,0.07,10.00,0.74,0.00,0.00,0.00,0.00,121.22,121.22,0.02
0.00,1.00,88.59,0.14,0.00,-8.18,-0.00,0.00,0.00,0.00,0.25,0.92,0.21,0.00,-1.61,-0.00,0.04,3.61,0.15,0.23,1.24,0.29,0.07,10.00,0.74,0.00,0.00,0.00,0.00,98.00,98.00,0.00
0.00,1.00,91.84,0.10,0.00,-9.32,-0.00,0.00,0.00,0.00,0.25,1.25,0.29,0.03,-0.83,-0.02,0.04,5.82,0.24,0.25,3.28,0.82,0.06,13.84,0.80,0.00,0.00,0.00,0.00,100.67,100.67,0.00
0.00,1.00,106.76,0.12,0.00,-9.32,-0.00,0.00,0.00,0.00,0.25,1.25,0.29,0.03,-0.83,-0.02,0.04,5.82,0.24,0.25,3.28,0.82,0.06,13.84,0.80,0.00,0.00,0.00,1.00,90.50,90.50,0.01
0.45,1.00,111.86,46.40,0.00,-9.32,-0.00,0.00,0.00,0.00,0.25,1.25,0.29,0.03,-0.83,-0.02,0.04,5.82,0.24,0.25,3.28,0.82,0.06,13.84,0.80,0.00,0.00,0.00,0.00,93.78,93.78,2.44
0.00,0.10,106.41,0.17,0.00,-9.32,-0.00,0.00,0.00,0.00,0.25,1.25,0.29,0.00,-0.83,-0.00,0.04,5.82,0.24,0.25,3.28,0.82,0.06,13.84,0.80,0.00,0.00,0.00,0.00,55.20,55.20,0.03
0.00,0.10,98.47,0.18,0.00,-7.88,-0.00,0.00,0.00,0.00,0.25,0.07,0.02,0.00,-1.62,-0.00,0.04,4.84,0.20,0.25,1.25,0.31,0.07,11.18,0.78,0.00,0.00,0.00,0.00,123.00,123.00,0.01
0.00,0.10,85.94,0.00,0.00,-7.88,-0.00,0.00,0.00,0.00,0.25,0.07,0.02,0.00,-1.62,-0.00,0.04,4.84,0.20,0.25,1.25,0.31,0.07,11.18,0.78,0.00,0.00,0.00,0.00,81.04,81.04,0.00
0.00,0.10,81.58,0.00,0.00,-7.88,-0.00,0.00,0.00,0.00,0.25,0.07,0.02,0.00,-1.62,-0.00,0.04,4.84,0.20,0.25,1.25,0.31,0.07,11.18,0.78,0.00,0.00,0.00,0.00,80.80,80.80,0.00
0.00,0.11,71.66,0.00,0.00,-7.88,-0.00,0.00,0.00,0.00,0.04,0.07,0.00,0.00,-1.62,-0.00,0.04,4.84,0.20,0.25,1.25,0.31,0.07,11.18,0.78,0.00,0.00,0.00,0.00,89.50,89.50,0.00
0.00,0.12,79.04,0.00,0.00,-7.39,-0.00,0.00,0.00,0.00,0.25,0.79,0.18,0.00,-0.90,-0.00,0.04,2.90,0.12,0.25,0.78,0.19,0.06,9.39,0.53,0.00,0.00,0.00,0.00,119.00,119.00,0.00
