BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,DRHCapacity,DRHPrice_USDperMW,DRHRev_USD,NQRCapacity,NQRPrice_USDperMW,NQRRev_USD,DCHCapacity,DCHPrice_USDperMW,DCHRev_USD,DMHCapacity,DMHPrice_USDperMW,DMHRev_USD,DMLCapacity,DMLPrice_USDperMW,DMLRev_USD,DCLCapacity,DCLPrice_USDperMW,DCLRev_USD,DRLCapacity,DRLPrice_USDperMW,DRLRev_USD,PQRCapacity,PQRPrice_USDperMW,PQRRev_USD,CapacityObligation,BMBuyPrice,BMSellPrice,BMBuyBackValue_USD
0.00,0.55,60.34,0.00,0.00,-3.43,-0.00,0.00,0.00,0.00,0.35,0.81,0.26,0.00,-0.48,-0.00,0.04,2.48,0.10,0.29,0.55,0.16,0.04,7.43,0.28,0.00,0.00,0.00,0.00,105.80,105.80,0.00
0.00,0.55,59.00,0.00,0.00,-3.43,-0.00,0.00,0.00,0.00,0.35,0.81,0.26,0.00,-0.48,-0.00,0.04,2.48,0.10,0.29,0.55,0.16,0.04,7.43,0.28,0.00,0.00,0.00,0.00,91.68,91.68,0.00
0.00,0.55,50.06,0.00,0.00,-3.43,-0.00,0.00,0.00,0.00,0.35,0.81,0.26,0.00,-0.48,-0.00,0.04,2.48,0.10,0.29,0.55,0.16,0.04,7.43,0.28,0.00,0.00,0.00,0.00,100.00,100.00,0.00
0.00,0.55,52.85,0.00,0.09,0.31,0.03,0.00,0.00,0.00,0.35,2.64,0.85,0.04,2.12,0.08,0.04,2.79,0.12,0.28,0.65,0.18,0.04,5.52,0.21,0.00,0.00,0.00,0.00,82.39,82.39,0.00
-0.98,0.55,41.95,-40.88,0.00,0.31,0.00,0.00,0.00,0.00,0.35,2.64,0.85,0.04,2.12,0.08,0.00,2.79,0.00,0.00,0.65,0.00,0.02,5.52,0.13,0.00,0.00,0.00,0.00,88.33,88.33,13.56
0.00,1.00,69.02,0.00,0.09,0.31,0.03,0.00,0.00,0.00,0.35,2.64,0.85,0.04,2.12,0.08,0.04,2.79,0.12,0.28,0.65,0.18,0.04,5.52,0.21,0.00,0.00,0.00,0.00,30.00,30.00,0.00
0.00,1.00,73.91,0.00,0.09,0.31,0.03,0.00,0.00,0.00,0.35,2.64,0.85,0.04,2.12,0.08,0.04,2.79,0.12,0.28,0.65,0.18,0.04,5.52,0.21,0.00,0.00,0.00,0.00,31.49,31.49,0.00
0.00,1.00,72.05,0.00,0.00,-5.80,-0.00,0.00,0.00,0.00,0.31,0.72,0.20,0.00,-0.07,-0.00,0.04,3.67,0.15,0.28,1.30,0.36,0.05,9.00,0.46,0.00,0.00,0.00,0.00,18.50,18.50,0.00
0.00,1.00,78.73,0.00,0.00,-5.80,-0.00,0.00,0.00,0.00,0.31,0.72,0.20,0.05,-0.07,-0.00,0.04,3.67,0.15,0.28,1.30,0.36,0.05,9.00,0.46,0.00,0.00,0.00,0.00,50.95,50.95,0.00
0.00,1.00,77.31,0.00,0.00,-5.80,-0.00,0.00,0.00,0.00,0.31,0.72,0.20,0.05,-0.07,-0.00,0.04,3.67,0.15,0.28,1.30,0.36,0.05,9.00,0.46,0.00,0.00,0.00,0.00,119.00,119.00,0.00
